date,cpi_mom_index,monthly_factor,price_index,inflation_yoy
2006-05-01,100.5,1.005,183.0981839906653,7.311019414533049
2006-06-01,100.1,1.001,183.28128217465593,6.777664447263976
2006-07-01,100.9,1.0090000000000001,184.93081371422787,7.416414184735176
2006-08-01,100.0,1.0,184.93081371422787,7.416414184735176
2006-09-01,102.0,1.02,188.6294299885124,9.128229550228962
2006-10-01,102.6,1.026,193.53379516821374,10.966861762670877
2006-11-01,101.8,1.018,197.0174034812416,11.624768057706468
2006-12-01,100.9,1.0090000000000001,198.7905601125728,11.624768057706447
2007-01-01,100.5,1.005,199.78451291313564,10.852659978255907
2007-02-01,100.6,1.006,200.98321999061443,9.545948858669394
2007-03-01,100.2,1.002,201.3851864305957,10.095326736596544
2007-04-01,100.0,1.0,201.3851864305957,10.537476643169219
2007-05-01,100.6,1.006,202.59349754917926,10.64746418211766
2007-06-01,102.2,1.022,207.05055449526122,12.968739654469807
2007-07-01,101.4,1.014,209.9492622581949,13.528545103699074
2007-08-01,100.6,1.006,211.20895783174407,14.209716374321268
2007-09-01,102.2,1.022,215.85555490404244,14.43365699466308
2007-10-01,102.9,1.0290000000000001,222.11536599625973,14.768258330904803
2007-11-01,102.2,1.022,227.00190404817744,15.21921415931702
2007-12-01,102.1,1.021,231.76894403318914,16.589512048228585
2008-01-01,102.9,1.0290000000000001,238.4902434101517,19.373739201619156
2008-02-01,102.7,1.0270000000000001,244.9294799822258,21.86563634201084
2008-03-01,103.8,1.038,254.2368002215504,26.244042438130965
2008-04-01,103.1,1.031,262.11814102841845,30.157607753713034
2008-05-01,101.3,1.013,265.5256768617879,31.063276992555956
2008-06-01,100.8,1.008,267.6498822766822,29.26788963649354
2008-07-01,99.5,0.995,266.31163286529875,26.845710244882692
2008-08-01,99.9,0.9990000000000001,266.0453212324335,25.96308601852666
2008-09-01,101.1,1.011,268.97181976599023,24.607318947877154
2008-10-01,101.7,1.0170000000000001,273.54434070201205,23.154172371225478
2008-11-01,101.5,1.015,277.64750581254225,22.31065064265545
2008-12-01,102.1,1.021,283.4781034346056,22.31065064265545
2009-01-01,102.9,1.0290000000000001,291.6989684342092,22.31065064265543
2009-02-01,101.5,1.015,296.0744529607223,20.881509641962246
2009-03-01,101.4,1.014,300.2194953021724,18.086561442148085
2009-04-01,100.9,1.0090000000000001,302.921470759892,15.56677060633116
2009-05-01,100.5,1.005,304.43607811369145,14.654101144484532
2009-06-01,101.1,1.011,307.784874972942,14.995333588366911
2009-07-01,99.9,0.9990000000000001,307.47709009796915,15.457626386712153
2009-08-01,99.8,0.998,306.8621359177732,15.342053187125826
2009-09-01,100.8,1.008,309.3170330051154,14.999791901704107
2009-10-01,100.9,1.0090000000000001,312.1008863021614,14.095172103067299
2009-11-01,101.1,1.011,315.5339960514852,13.645535956848299
2009-12-01,100.9,1.0090000000000001,318.37380201594857,12.309839158139035
2010-01-01,101.8,1.018,324.1045304522356,11.109248068984968
2010-02-01,101.9,1.0190000000000001,330.2625165308282,11.547117026892328
2010-03-01,100.9,1.0090000000000001,333.2348791796056,10.997081933071362
2010-04-01,99.7,0.997,332.23517454206683,9.676997707901048
2010-05-01,99.4,0.9940000000000001,330.24176349481445,8.476552956869288
2010-06-01,99.6,0.996,328.9207964408352,6.867108550981027
2010-07-01,99.8,0.998,328.2629548479535,6.7601344683473785
2010-08-01,101.2,1.012,332.202110306129,8.257771625218012
2010-09-01,102.9,1.0290000000000001,341.83597150500674,10.51314186741006
2010-10-01,100.5,1.005,343.5451513625317,10.075032286171549
2010-11-01,100.3,1.003,344.5757868166193,9.204013237418462
2010-12-01,100.8,1.008,347.33239311115227,9.095783293674732
2011-01-01,101.0,1.01,350.8057170422638,8.238449043822671
2011-02-01,100.9,1.0090000000000001,353.9629684956442,7.176246403549613
2011-03-01,101.4,1.014,358.9184500545832,7.707347723686131
2011-04-01,101.3,1.013,363.58438990529277,9.435850796483503
2011-05-01,100.8,1.008,366.4930650245351,10.977200807701571
2011-06-01,100.4,1.004,367.9590372846332,11.868583946719236
2011-07-01,98.7,0.987,363.175569799933,10.635563482376643
