date,ukraine_inflation_yoy,ukraine_inflation_yoy_cf
2012-03-01,1.8948968364357333,1.7721251491459633
2012-04-01,0.5872624249118719,0.8770223302794734
2012-05-01,-0.510416034090122,-0.032150899257676224
2012-06-01,-1.2040685119400818,-0.25238805282663707
2012-07-01,-0.10299936668307641,1.0801094186476623
2012-08-01,-0.002701173276142832,2.414531520237415
2012-09-01,-0.002701173276153934,3.167211997822462
2012-10-01,-0.002701173276153934,3.6036921222562244
2012-11-01,-0.20249597612673753,3.126497482211212
2012-12-01,-0.20249597612672643,3.3235472030789293
2013-01-01,-0.20249597612670422,2.662624703923181
2013-02-01,-0.5012908983538678,1.8567192131279557
2013-03-01,-0.7988942157067469,1.4231178550975183
2013-04-01,-0.7988942157067469,0.5613895606584436
2013-05-01,-0.4008957973143934,1.1906079128936498
2013-06-01,-0.10119939550089496,2.1379621906910673
2013-07-01,-0.0011003968992007174,2.3840517541598234
2013-08-01,-0.40229959289959094,1.7113847541113199
2013-09-01,-0.501797795104475,1.1025820947664848
2013-10-01,-0.10380498628489443,0.3081161820944801
2013-11-01,0.19618358732984564,0.4938416166460875
2013-12-01,0.4961721609445968,0.9843435797885219
2014-01-01,0.4961721609445746,1.0844492920738928
2014-02-01,1.200349543453716,1.5208236992729518
2014-03-01,3.426757233409705,0.8530795413752454
2014-04-01,6.8398402221122145,2.470805597055361
2014-05-01,10.788965185367093,2.5278756125030166
2014-06-01,11.896854837220761,2.7607065337276024
2014-07-01,12.456899155725365,2.943095088515217
2014-08-01,14.155643855962929,3.817216388812372
2014-09-01,17.466157527785864,5.04300807017296
2014-10-01,19.806120825152117,6.111129632430516
2014-11-01,21.838759601626776,6.771828574202596
2014-12-01,24.869574517090133,6.065822428881374
2015-01-01,28.48356419872249,5.607544751641758
2015-02-01,34.486275448563376,8.98114830460574
2015-03-01,45.80312445891215,13.998909044357152
2015-04-01,60.90567462067749,19.017351280928445
2015-05-01,58.42543300802738,25.25399205405423
2015-06-01,57.48429182184107,29.313406521174144
2015-07-01,55.2882957207397,33.108514809721264
2015-08-01,52.82340213787078,36.287392451417034
2015-09-01,51.93230358313099,36.862942366289204
2015-10-01,46.442562145068614,38.64378294125995
2015-11-01,46.586274178577035,39.08728300711544
2015-12-01,43.3129884444923,39.497295830387955
2016-01-01,40.254903337044404,39.61492341419976
2016-02-01,32.66275757236108,35.42993030059109
2016-03-01,20.92904796758548,29.95911188249771
2016-04-01,9.790846181097358,24.655496494748412
2016-05-01,7.5348698897049315,22.660320633333097
2016-06-01,6.8922312250254025,22.240671658813692
2016-07-01,7.863978781616554,21.73135377552945
2016-08-01,8.407648029507797,21.041015132652003
2016-09-01,7.877796377359658,19.73252366814133
2016-10-01,12.359042224848782,20.726065816050838
2016-11-01,12.138730377349049,19.256723819354207
2016-12-01,12.361448809081654,18.435101721405974
2017-01-01,12.584167240814171,18.21693578388326
2017-02-01,14.166675615685076,18.08232717612908
2017-03-01,15.070966115611274,15.716622978374039
2017-04-01,12.180294503045207,13.20440255724484
2017-05-01,13.525113218366446,10.885341498195963
2017-06-01,15.57266035056144,9.130187380704772
2017-07-01,15.919725396659201,8.043340453484085
2017-08-01,16.152262458638454,7.215939183473979
2017-09-01,16.38045943792854,7.044014989214599
2017-10-01,14.569090419439368,6.01562317091654
2017-11-01,13.556200622018032,5.817384606737607
2017-12-01,13.668743932842586,5.803468000234638
2018-01-01,14.118471900925055,5.46698335733228
2018-02-01,14.00548331488456,4.685391395968328
2018-03-01,13.221555630008153,3.9892352442584436
2018-04-01,13.109343979235067,2.9115752868953253
2018-05-01,11.657792674467004,3.6775394071903955
2018-06-01,9.899402238648625,3.5685105487830953
2018-07-01,8.912281859259586,3.3780887844940497
2018-08-01,9.021303162422,3.135189391353767
2018-09-01,8.914419531870577,2.437786410556036
2018-10-01,9.452534252877886,2.489312564798433
2018-11-01,9.994915492981304,1.2932494650536253
2018-12-01,9.777103779133833,-0.6280811282895504
2019-01-01,9.2363298688918,-1.6553080037954506
2019-02-01,8.803281980412514,-1.577984439398933
2019-03-01,8.588043044744055,-0.6992945569552997
2019-04-01,8.803495511102689,0.9649105164876168
2019-05-01,9.565119979680436,0.8748941176051985
2019-06-01,9.017294379782005,1.1194345081480666
2019-07-01,9.127080174726409,1.3465981096822754
2019-08-01,8.799698934202226,1.9615483170420678
2019-09-01,7.51844634616452,2.001638296764912
2019-10-01,6.461234484353651,2.0091728675986076
2019-11-01,5.096346862759371,2.7673597504863743
2019-12-01,4.053724374041523,4.171406727259662
2020-01-01,3.229536458207538,5.237792339462479
2020-02-01,2.407808804808864,5.098982110687373
2020-03-01,2.306314445240165,3.306904540262823
2020-04-01,2.1037276839624752,0.23352844980801324
2020-05-01,1.6981518043836408,-0.24775699763289982
2020-06-01,2.4136161889370955,0.1048282843209586
2020-07-01,2.4136161889370955,0.6837147055041829
2020-08-01,2.516337970470639,-0.4504574245912434
2020-09-01,2.312730546497499,0.10895317574594732
2020-10-01,2.6175351062189156,1.439957855017889
2020-11-01,3.8477153472525005,3.1609707474621125
2020-12-01,4.99232944426633,4.840356673225212
2021-01-01,6.144939847347075,8.069716921164138
2021-02-01,7.528976174343582,9.729169685427472
2021-03-01,8.48905631875736,12.530036493250968
2021-04-01,8.381428286695126,15.228557572486611
2021-05-01,9.462000851866549,15.505567815878491
2021-06-01,9.46200085186657,15.084411246715856
2021-07-01,10.232860012795154,14.855303145970593
2021-08-01,10.232860012795154,14.927877981147386
2021-09-01,11.000651077560896,14.580560394945834
2021-10-01,10.890749442830682,15.161740914674661
2021-11-01,10.343411094149403,16.8204646129913
2021-12-01,10.015333558686091,17.20706245169732
2022-01-01,10.015333558686113,17.528573995130806
2022-02-01,10.668889995668396,18.398125841246973
2022-03-01,13.715821086994517,21.924508347570345
2022-04-01,16.42602933534394,24.646440025004253
2022-05-01,18.03507613760933,26.243637422916283
2022-06-01,21.451260975923358,29.42679105413019
2022-07-01,22.179240562192646,29.97967215570158
2022-08-01,23.77075371580839,31.428705469222088
2022-09-01,24.62687553004819,32.341478211545116
2022-10-01,26.60311934420152,34.09641652614573
2022-11-01,26.47752101151881,33.455425101019024
2022-12-01,26.603244193438847,32.76573322701621
2023-01-01,25.978351576491953,31.307414386686705
2023-02-01,24.862401611739582,29.694242880234064
2023-03-01,21.277835058292528,25.0516229477541
2023-04-01,17.866528349572384,21.090568199438575
2023-05-01,15.341636797780179,18.044119900795863
2023-06-01,12.768544997247734,15.186008542866693
2023-07-01,11.312744515654671,13.822486976578098
2023-08-01,8.560203850084559,11.637270272559132
2023-09-01,7.068699577365023,9.882629252850116
2023-10-01,5.292926023398992,7.491551666693182
2023-11-01,5.08380402533859,6.546172283673215
2023-12-01,5.0838040253385675,7.116121507864927
2024-01-01,4.6668048030158005,7.075843502134218
2024-02-01,4.251047882249082,7.00605384926062
2024-03-01,3.223943962226916,6.338981206350484
2024-04-01,3.223943962226916,6.222666992841628
2024-05-01,3.3266543542291416,6.596284579260048
2024-06-01,4.761746775815667,7.870683209463375
2024-07-01,5.394111444482563,8.269362986642554
2024-08-01,7.531923035648536,9.369056654541716
2024-09-01,8.60189241908782,9.5328570209082
2024-10-01,9.679292145467656,10.262208165775174
2024-11-01,11.207162881822462,11.603946964985422
2024-12-01,11.980201749918539,12.274686601720143
2025-01-01,12.872474273822277,13.444751391834158
2025-02-01,13.435148622146453,13.949986606884952
2025-03-01,14.56385656863548,15.075375687020598
2025-04-01,15.1355324996167,15.9265381591445
2025-05-01,15.936674375856574,16.6649154380709
2025-06-01,14.3485007542695,15.51623621364702
2025-07-01,14.11980375276094,15.446590509463366
2025-08-01,13.2122904028384,14.818544872057128
2025-09-01,11.873819974430466,13.988689569510463
2025-10-01,10.884758697642782,13.276883925481824
2025-11-01,9.252500228099446,12.28552591348718
2025-12-01,7.9595712313172085,11.425620717964518
